instance_id,tier_label,completed_rows,best_gap_percent
G72,T4_RTX5090,30,2.768265
G72,T4_RTX5090,100,2.682648
G72,T4_RTX5090,500,2.682648
G72,T4_RTX5090,1000,2.682648
G72,T4_RTX5090,2000,2.568493
G72,T4_RTX5090,3100,2.568493
G77,T4_RTX5090,30,2.555332
G77,T4_RTX5090,100,2.555332
G77,T4_RTX5090,500,2.535211
G77,T4_RTX5090,1000,2.515091
G77,T4_RTX5090,2000,2.515091
G77,T4_RTX5090,3100,2.515091
G81,T4_RTX5090,30,2.816501
G81,T4_RTX5090,100,2.773826
G81,T4_RTX5090,500,2.560455
G81,T4_RTX5090,1000,2.560455
G81,T4_RTX5090,2000,2.560455
G81,T4_RTX5090,3100,2.560455
